Country,CiproUse2015
Norway,0.457
United Kingdom,0.4606
Denmark,0.4948
Sweden,0.6808
Finland,0.7324
Netherlands,0.7711
Czechia,0.905
Lithuania,0.9129
Estonia,0.9233
Iceland,0.9268
Ireland,0.928
Latvia,1.0553
Slovenia,1.155
Austria,1.3155
Germany,1.325
Poland,1.3954
Croatia,1.4955
France,1.601
EU/EEA,1.7431
Portugal,2.0471
Spain,2.3484
Slovakia,2.4025
Luxembourg,2.4862
Belgium,2.6021
Greece,2.6559
Hungary,2.7084
Malta,2.7143
Bulgaria,2.8297
Italy,3.3748
Romania,3.5198
Cyprus,4.6007
