Timestamp,Do you like chocolate?,Do you like broccoli?,Do you commute to school? ,Do you enjoy outdoor activities?,Are you vegetarian? ,Do you like coding?,Are both of your ears pierced?,Do you go out often?,Do you have a license? ,do you have blue eyes ,Do you own a car?,"Are you taller than 5'5"" (165 cm)?",Do you have prior experience in programming?,Are you in a research lab?,Do you like octopus?,Do you use Spotify?,Column 18,Do you like orchestra music?
10/22/2024 11:19:55,Yes,Yes,No,Yes,No,no,Yes,,Ye,Yes,,,,,,,,
10/22/2024 11:24:02,Yes,Yes,Yes,Yes,No,yes,Yes,No,Ye,No,No,Yes,Yes,,,,,
10/22/2024 11:25:13,Yes,Yes,Yes,Yes,No,no,Yes,Yes,Ye,No,Yes,Yes,Yes,No,Yes,,,
10/22/2024 11:25:27,Yes,Yes,No,Yes,No,yes,Yes,No,Nah,No,No,Yes,No,Yes,Yes,,,
10/22/2024 11:25:39,No,No,Yes,Yes,No,no,Yes,Yes,Ye,No,Yes,No,No,No,Yes,,,
10/22/2024 11:25:39,Yes,Yes,Yes,Yes,No,yes,Yes,No,Ye,No,Yes,No,Yes,Yes,Yes,,,
10/22/2024 11:25:42,Yes,No,Yes,Yes,No,no,Yes,No,Nah,No,No,Yes,Yes,No,No,,,
10/22/2024 11:25:42,Yes,No,Yes,Yes,No,no,Yes,Yes,Ye,No,Yes,Yes,No,No,No,,,
10/22/2024 11:25:46,Yes,No,Yes,Yes,No,no,No,Yes,Nah,No,No,Yes,No,Yes,Yes,,,
10/22/2024 11:25:51,Yes,Yes,Yes,Yes,No,no,No,No,Ye,Yes,No,Yes,No,No,No,,,
10/22/2024 11:25:51,Yes,Yes,No,Yes,Yes,no,Yes,No,Ye,No,Yes,No,No,No,No,,,
10/22/2024 11:25:57,No,Yes,No,Yes,No,yes,Yes,No,Ye,No,Yes,Yes,Yes,No,Yes,,,
10/22/2024 11:26:00,Yes,Yes,No,Yes,No,no,Yes,Yes,Ye,Yes,Yes,Yes,No,No,Yes,,,
10/22/2024 11:26:01,Yes,Yes,Yes,Yes,Yes,yes,No,No,Ye,No,Yes,No,Yes,Yes,No,,,
10/22/2024 11:26:03,Yes,No,Yes,Yes,No,yes,Yes,Yes,Ye,Yes,Yes,No,Yes,No,Yes,,,
10/22/2024 11:26:11,Yes,Yes,Yes,Yes,Yes,yes,Yes,No,Ye,Yes,Yes,Yes,Yes,Yes,No,,,
10/22/2024 11:26:12,Yes,Yes,Yes,Yes,No,yes,No,No,Ye,Yes,No,Yes,Yes,No,Yes,,,
10/22/2024 11:26:13,No,Yes,Yes,Yes,No,yes,No,No,Ye,No,No,Yes,No,No,Yes,,,
10/22/2024 11:26:25,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Ye,No,No,No,No,No,No,,,
10/22/2024 11:26:25,Yes,Yes,No,Yes,No,yes,Yes,Yes,Nah,No,No,Yes,No,Yes,Yes,,,
10/22/2024 11:26:28,Yes,Yes,Yes,Yes,No,yes,Yes,No,Nah,No,No,Yes,Yes,No,No,,,
10/22/2024 11:26:33,Yes,No,Yes,Yes,No,yes,Yes,Yes,Nah,No,No,No,Yes,Yes,No,,,
10/22/2024 11:26:41,Yes,Yes,Yes,Yes,Yes,yes,Yes,No,Nah,No,No,No,Yes,Yes,No,,,
10/22/2024 11:26:42,Yes,No,No,Yes,No,no,Yes,Yes,Ye,No,Yes,Yes,No,No,Yes,,,
10/22/2024 11:26:44,Yes,No,No,Yes,No,no,Yes,Yes,Ye,No,No,No,Yes,No,No,,,
10/22/2024 11:26:56,Yes,Yes,No,Yes,No,no,Yes,No,Nah,No,No,Yes,Yes,No,No,,,
10/22/2024 11:27:05,Yes,Yes,Yes,Yes,No,no,No,No,Nah,No,No,Yes,No,Yes,No,,,
10/22/2024 11:27:07,Yes,Yes,Yes,Yes,No,no,No,Yes,Nah,No,Yes,Yes,Yes,No,No,,,
10/22/2024 11:27:10,Yes,Yes,Yes,Yes,No,no,No,No,Ye,No,Yes,Yes,Yes,No,Yes,,,
10/22/2024 11:27:22,Yes,Yes,Yes,Yes,No,no,Yes,Yes,Ye,No,Yes,No,No,No,No,,,
10/22/2024 11:27:30,Yes,Yes,Yes,Yes,No,no,Yes,No,Ye,No,Yes,No,No,No,No,,,
10/22/2024 11:27:40,Yes,Yes,Yes,Yes,Yes,yes,No,Yes,Nah,No,No,Yes,Yes,No,Yes,,,
10/22/2024 11:28:02,Yes,Yes,Yes,Yes,No,yes,No,No,Nah,No,No,No,No,No,Yes,,,
10/22/2024 11:28:06,Yes,Yes,No,Yes,No,no,Yes,No,Nah,No,No,No,No,No,No,,,
,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,,,,,,Yes,
,Yes,Yes,,,,,,,,,,,,,,,,
,Yes,Yes,No ,Yes,No,No,Yes,,Yes,Yes,Yes,No,No,Yes,No,,Yes,Yes
,Yes,Yes,Yes,Yes,No ,No,No,Yes,No,No,No,Yes,No,No,Yes,No,,
